order_id,product_id,quantity,unit_price,line_total
144076,3,1,6.79,6.79
144076,16,2,8.33,16.66
144076,20,2,1.77,3.54
144076,28,5,6.81,34.05
144076,32,3,0.99,2.97
166628,36,1,1.84,1.84
284184,5,5,0.79,3.95
284184,20,5,1.77,8.85
284184,25,4,4.99,19.96
284184,33,3,1.03,3.09
567502,18,1,6.95,6.95
567502,28,1,6.81,6.81
784782,16,2,8.33,16.66
784782,28,3,6.81,20.43
1168598,4,2,3.62,7.24
1168598,8,3,5.13,15.39
1168598,12,2,0.60,1.20
1205347,11,4,5.99,23.96
1205347,23,5,9.05,45.25
1205347,34,5,3.99,19.95
1205347,35,5,9.07,45.35
1389809,7,4,5.78,23.12
1389809,14,2,6.94,13.88
1389809,26,2,6.39,12.78
1389809,29,1,3.84,3.84
1389809,32,5,0.99,4.95
1422424,7,2,5.78,11.56
1422424,11,2,5.99,11.98
1422424,35,5,9.07,45.35
1422424,36,3,1.84,5.52
1569155,22,1,1.50,1.50
1939251,14,2,6.94,13.88
1939251,23,2,9.05,18.10
1939251,35,2,9.07,18.14
2038517,3,1,6.79,6.79
2038517,25,4,4.99,19.96
2038517,36,3,1.84,5.52
2373660,17,2,8.12,16.24
2373660,18,5,6.95,34.75
2373660,32,4,0.99,3.96
2373660,34,1,3.99,3.99
2427821,2,3,8.50,25.50
2427821,12,2,0.60,1.20
2427821,15,5,5.26,26.30
2427821,34,4,3.99,15.96
2472474,31,3,3.36,10.08
2617004,2,3,8.50,25.50
2617004,7,1,5.78,5.78
2617004,13,3,1.21,3.63
2617004,23,4,9.05,36.20
2617004,33,3,1.03,3.09
2638261,5,4,0.79,3.16
2638261,12,5,0.60,3.00
2638261,22,4,1.50,6.00
2638261,24,5,5.32,26.60
2668341,7,1,5.78,5.78
2668341,23,4,9.05,36.20
2668341,24,2,5.32,10.64
2812002,2,3,8.50,25.50
2812002,26,1,6.39,6.39
2812002,31,2,3.36,6.72
2823798,31,2,3.36,6.72
2823798,36,4,1.84,7.36
2907169,2,2,8.50,17.00
3136138,10,5,7.64,38.20
3136138,32,2,0.99,1.98
3136138,35,5,9.07,45.35
3144787,24,5,5.32,26.60
3262104,12,1,0.60,0.60
3262104,14,4,6.94,27.76
3336620,1,5,3.26,16.30
3336620,21,5,3.42,17.10
3336620,34,4,3.99,15.96
3348170,13,3,1.21,3.63
3348170,15,1,5.26,5.26
3348170,33,1,1.03,1.03
3348170,34,5,3.99,19.95
3349251,10,2,7.64,15.28
3349251,15,4,5.26,21.04
3349251,20,1,1.77,1.77
3349251,21,5,3.42,17.10
3349251,26,1,6.39,6.39
3398420,16,1,8.33,8.33
3398420,20,3,1.77,5.31
3446288,7,1,5.78,5.78
3446288,11,1,5.99,5.99
3446288,16,1,8.33,8.33
3446288,17,1,8.12,8.12
3446288,31,3,3.36,10.08
3483259,18,3,6.95,20.85
3483259,23,3,9.05,27.15
3483259,36,3,1.84,5.52
3704131,3,3,6.79,20.37
3704131,9,5,0.84,4.20
3704131,21,2,3.42,6.84
3704131,34,1,3.99,3.99
3914188,32,5,0.99,4.95
3914188,34,3,3.99,11.97
4146981,11,1,5.99,5.99
4146981,12,1,0.60,0.60
4146981,21,5,3.42,17.10
4146981,23,1,9.05,9.05
4332383,2,1,8.50,8.50
4332383,7,5,5.78,28.90
4332383,8,4,5.13,20.52
4332383,14,5,6.94,34.70
4361797,6,1,7.30,7.30
4361797,32,5,0.99,4.95
4361797,36,5,1.84,9.20
4495401,25,3,4.99,14.97
4495401,32,1,0.99,0.99
4546671,2,1,8.50,8.50
4546671,8,5,5.13,25.65
4546671,19,2,1.65,3.30
4546671,31,4,3.36,13.44
4671280,25,4,4.99,19.96
4702631,12,2,0.60,1.20
4702631,21,5,3.42,17.10
4702631,31,4,3.36,13.44
4782668,11,1,5.99,5.99
4782668,22,1,1.50,1.50
4782668,26,1,6.39,6.39
4782668,27,4,3.98,15.92
4949380,1,1,3.26,3.26
4949380,13,4,1.21,4.84
4949380,16,3,8.33,24.99
4949380,28,5,6.81,34.05
4949380,36,5,1.84,9.20
4995477,24,3,5.32,15.96
5175558,7,4,5.78,23.12
5175558,13,2,1.21,2.42
5175558,35,3,9.07,27.21
5175558,36,4,1.84,7.36
5197463,1,2,3.26,6.52
5197463,14,2,6.94,13.88
5197463,33,1,1.03,1.03
5197463,36,2,1.84,3.68
5245322,27,2,3.98,7.96
5451223,9,3,0.84,2.52
5451223,12,1,0.60,0.60
5582636,17,4,8.12,32.48
5582636,18,3,6.95,20.85
5582636,21,3,3.42,10.26
5582636,30,4,1.32,5.28
5582636,32,2,0.99,1.98
5656349,10,4,7.64,30.56
5656349,12,2,0.60,1.20
5656349,17,3,8.12,24.36
5656349,30,5,1.32,6.60
5656349,35,2,9.07,18.14
5800986,26,1,6.39,6.39
5983888,12,2,0.60,1.20
5983888,27,3,3.98,11.94
6042741,23,3,9.05,27.15
6042741,30,2,1.32,2.64
6042741,36,3,1.84,5.52
6079590,5,1,0.79,0.79
6079590,12,4,0.60,2.40
6079590,23,5,9.05,45.25
6079590,29,3,3.84,11.52
6156299,7,1,5.78,5.78
6156299,9,3,0.84,2.52
6156299,17,2,8.12,16.24
6170967,10,4,7.64,30.56
6170967,12,5,0.60,3.00
6170967,24,5,5.32,26.60
6217461,18,2,6.95,13.90
6217461,19,5,1.65,8.25
6217461,35,2,9.07,18.14
6217461,36,5,1.84,9.20
6240940,5,1,0.79,0.79
6240940,7,3,5.78,17.34
6661451,8,2,5.13,10.26
6661451,18,1,6.95,6.95
6707711,9,2,0.84,1.68
6707711,14,3,6.94,20.82
6707711,19,3,1.65,4.95
6707711,28,4,6.81,27.24
6707711,31,2,3.36,6.72
7110544,5,5,0.79,3.95
7110544,19,3,1.65,4.95
7148553,9,4,0.84,3.36
7148553,20,1,1.77,1.77
7215819,4,1,3.62,3.62
7215819,5,2,0.79,1.58
7215819,9,1,0.84,0.84
7215819,19,5,1.65,8.25
7215819,34,2,3.99,7.98
7380720,16,2,8.33,16.66
7380720,28,1,6.81,6.81
7380720,29,5,3.84,19.20
7380720,36,5,1.84,9.20
7392302,23,2,9.05,18.10
7392302,35,5,9.07,45.35
7461174,3,1,6.79,6.79
7461174,13,3,1.21,3.63
7461174,22,1,1.50,1.50
7461174,25,2,4.99,9.98
7461174,33,4,1.03,4.12
7473490,4,1,3.62,3.62
7473490,6,3,7.30,21.90
7473490,31,1,3.36,3.36
7634304,19,4,1.65,6.60
7634304,20,3,1.77,5.31
7634304,34,4,3.99,15.96
7677866,28,5,6.81,34.05
7677866,30,3,1.32,3.96
7706429,16,1,8.33,8.33
7706429,20,4,1.77,7.08
7706429,28,4,6.81,27.24
7706429,32,5,0.99,4.95
7706429,34,4,3.99,15.96
7730454,23,3,9.05,27.15
7733996,6,4,7.30,29.20
7733996,31,4,3.36,13.44
7761905,14,3,6.94,20.82
7761905,29,2,3.84,7.68
7915959,3,1,6.79,6.79
7915959,13,5,1.21,6.05
7915959,24,4,5.32,21.28
7915959,27,5,3.98,19.90
7978260,2,1,8.50,8.50
7978260,8,1,5.13,5.13
7978260,12,3,0.60,1.80
7978260,21,3,3.42,10.26
7978260,36,1,1.84,1.84
8021873,5,3,0.79,2.37
8021873,25,5,4.99,24.95
8225899,17,2,8.12,16.24
8283937,23,4,9.05,36.20
8501700,8,4,5.13,20.52
8501700,12,4,0.60,2.40
8577895,7,4,5.78,23.12
8577895,14,2,6.94,13.88
8577895,30,5,1.32,6.60
8723558,18,5,6.95,34.75
8723558,27,2,3.98,7.96
8723558,32,4,0.99,3.96
8723935,5,1,0.79,0.79
8723935,8,1,5.13,5.13
8723935,11,2,5.99,11.98
8723935,15,1,5.26,5.26
8765847,34,1,3.99,3.99
8874531,5,1,0.79,0.79
8874531,21,4,3.42,13.68
8874531,34,2,3.99,7.98
8952360,28,4,6.81,27.24
9099828,36,4,1.84,7.36
9117480,8,1,5.13,5.13
9117480,15,2,5.26,10.52
9117480,32,3,0.99,2.97
9117480,33,4,1.03,4.12
9117480,35,5,9.07,45.35
9119421,3,5,6.79,33.95
9119421,6,1,7.30,7.30
9282297,12,4,0.60,2.40
9282297,13,5,1.21,6.05
9282297,33,4,1.03,4.12
9343313,10,2,7.64,15.28
9419989,9,3,0.84,2.52
9419989,10,4,7.64,30.56
9419989,11,3,5.99,17.97
9419989,13,2,1.21,2.42
9419989,33,2,1.03,2.06
9505967,10,5,7.64,38.20
9537098,14,2,6.94,13.88
9599335,26,4,6.39,25.56
9894141,15,5,5.26,26.30
9894141,27,1,3.98,3.98
9903456,15,5,5.26,26.30
10145748,3,1,6.79,6.79
