order_id,product_id,quantity,unit_price,line_total
1259,7,2,5.78,11.56
1259,14,3,6.94,20.82
1259,23,1,9.05,9.05
1259,29,3,3.84,11.52
3142,8,2,5.13,10.26
3142,9,3,0.84,2.52
3142,15,2,5.26,10.52
3142,18,5,6.95,34.75
14538,1,1,3.26,3.26
14538,2,4,8.50,34.00
14538,20,2,1.77,3.54
14538,24,1,5.32,5.32
18736,16,5,8.33,41.65
18736,27,1,3.98,3.98
18736,33,2,1.03,2.06
18736,34,3,3.99,11.97
38989,5,5,0.79,3.95
38989,6,5,7.30,36.50
38989,19,2,1.65,3.30
38989,32,2,0.99,1.98
47578,3,1,6.79,6.79
47578,6,1,7.30,7.30
54834,2,5,8.50,42.50
54834,26,2,6.39,12.78
68412,11,2,5.99,11.98
68412,12,1,0.60,0.60
101143,5,5,0.79,3.95
101143,32,4,0.99,3.96
101143,35,4,9.07,36.28
101143,36,2,1.84,3.68
101557,3,5,6.79,33.95
101557,7,2,5.78,11.56
101557,24,2,5.32,10.64
114064,2,4,8.50,34.00
114064,11,2,5.99,11.98
114064,35,1,9.07,9.07
115256,19,2,1.65,3.30
115537,10,4,7.64,30.56
115537,21,5,3.42,17.10
115537,23,3,9.05,27.15
115537,31,2,3.36,6.72
117774,15,3,5.26,15.78
117774,16,2,8.33,16.66
117774,20,2,1.77,3.54
117774,31,3,3.36,10.08
117774,32,2,0.99,1.98
133041,18,4,6.95,27.80
133041,20,5,1.77,8.85
133041,33,5,1.03,5.15
144076,3,1,6.79,6.79
144076,16,2,8.33,16.66
144076,20,2,1.77,3.54
144076,28,5,6.81,34.05
144076,32,3,0.99,2.97
151868,6,5,7.30,36.50
151868,7,2,5.78,11.56
151868,23,1,9.05,9.05
151868,36,4,1.84,7.36
164787,16,5,8.33,41.65
164787,27,5,3.98,19.90
164787,30,1,1.32,1.32
164787,33,1,1.03,1.03
166628,36,1,1.84,1.84
174452,6,2,7.30,14.60
185997,5,2,0.79,1.58
185997,20,5,1.77,8.85
193117,10,5,7.64,38.20
193117,11,1,5.99,5.99
193117,20,5,1.77,8.85
193117,36,1,1.84,1.84
214922,16,2,8.33,16.66
214922,31,4,3.36,13.44
216364,20,4,1.77,7.08
234646,2,1,8.50,8.50
234646,13,4,1.21,4.84
234646,28,2,6.81,13.62
234646,35,3,9.07,27.21
235426,30,4,1.32,5.28
235426,31,1,3.36,3.36
240528,12,5,0.60,3.00
240528,29,5,3.84,19.20
240528,31,5,3.36,16.80
240528,32,4,0.99,3.96
251537,12,2,0.60,1.20
251537,31,4,3.36,13.44
284184,5,5,0.79,3.95
284184,20,5,1.77,8.85
284184,25,4,4.99,19.96
284184,33,3,1.03,3.09
323232,7,4,5.78,23.12
323232,12,1,0.60,0.60
323232,29,1,3.84,3.84
332486,5,5,0.79,3.95
332486,28,2,6.81,13.62
